"syn"	"gene"
"protease, serine, 35::UNQ522/PRO1057::inactive serine protease 35::MGC46520::OTTHUMP00000016793::dJ223E3.1::C6orf158"	"PRSS35"
"polyserase 2::polyserase-2::polyserine protease 2::polyserine protease-2::protease, serine, 36::serine protease 36::FLJ90661"	"PRSS36"
"hypothetical protein LOC136242::protease, serine, 37::probable inactive serine protease 37::probable inactive trypsin-X2::TRYX2::OTTHUMP00000211634::Peptidase S1 domain-containing protein LOC136242"	"PRSS37"
"marapsin 2::marapsin-2::OTTHUMP00000035840::MPN2::MGC163272::serine protease 38::protease, serine, 38::serine protease MPN2"	"PRSS38"
"protease, serine, 3 pseudogene 2::T6::TRY6"	"PRSS3P2"
"TESSP2::testis serine protease 2::putative testis serine protease 2::protease, serine, 42::serine protease 42"	"PRSS42"
"serine protease 45::TESSP5::testis serine protease 5::putative testis serine protease 5::protease, serine, 45"	"PRSS45"
"Tessp6::testis serine protease 6::serine protease 46::protease, serine, 46::79H19B::1700112C13Rik::MGC107146"	"PRSS46"
"ESSPL::epidermis-specific serine protease-like protein::protease, serine, 48::serine protease 48"	"PRSS48"
"probable threonine protease PRSS50::protease, serine, 50::serine protease 50::TSP50::testes specific protease 50::testes-specific protease 50::testis-specific protease-like protein 50::cancer/testis antigen 20::CT20"	"PRSS50"
"protease, serine, 53::serine protease 53::UNQ308::POL3S::polyserase 3::polyserase-3::polyserine protease 3::FLJ00289::EDTP308"	"PRSS53"
"FLJ25339::inactive serine protease 54::KLKBL4::plasma kallikrein-like protein 4::CT67::cancer/testis antigen 67::protease, serine, 54"	"PRSS54"
"hypothetical protein LOC203074::T-SP1::testis serine protease 1::serine protease 55::UNQ9391::UNQ9391/PRO34284::protease, serine, 55::probable serine protease UNQ9391/PRO34284::tryptophan/serine protease"	"PRSS55"
"putative serine protease 56::protease, serine, 56::MCOP6::hypothetical protein LOC646960"	"PRSS56"
"GLGL782::UNQ782::UNQ782/PRO1599::serine protease 57::serine protease 1-like protein 1::protease, serine, 57::protease, serine-like 1::PRSSL1"	"PRSS57"
"TRY1::trypsin X3::trypsin-X3::TRYX3::protease, serine, 58::PRSS1::serine protease 58::UNQ2540::UNQ2540/PRO6090::FLJ16649::MGC35022"	"PRSS58"
"CAP1::channel-activating protease 1::serine protease 8::prostasin::protease, serine, 8"	"PRSS8"
"FLJ11888::HHGP::phosphoribosyl transferase domain containing 1::phosphoribosyltransferase domain-containing protein 1::OTTHUMP00000019330::RP11-129O7.1"	"PRTFDC1"
"protein Shen-Dan::protogenin::protogenin homolog (Gallus gallus)::shen-dan::IGDCC5::immunoglobulin superfamily, DCC subclass, member 5::FLJ13221::FLJ25756::FLJ12795"	"PRTG"
"proteinase 3::serine proteinase, neutrophil::wegener autoantigen::Wegener granulomatosis autoantigen::NP-4::NP4::neutrophil proteinase 4::myeloblastin::MBN::MBT::P29::PR-3::PR3::leukocyte proteinase 3::C-ANCA::C-ANCA antigen::CANCA::azurophil granule protein 7::AGP7::ACPA"	"PRTN3"
"HTCD37::OTTHUMP00000033020::protein prune homolog::prune homolog (Drosophila)::RP11-316M1.6::DRES-17::DRES17::Drosophila-related expressed sequence 17"	"PRUNE"
"bA214N16.3::BCH motif-containing molecule at the carboxyl terminal region 1::C9orf65::BMCC1::BNIP2 motif containing molecule at the carboxyl terminal region 1::BNIP2 motif-containing molecule at the C-terminal region 1::BNIPXL::DKFZp762K117::A214N16.3::protein prune homolog 2::prune homolog 2::prune homolog 2 (Drosophila)::truncated PRUNE2::RP11-214N16.3::RP11-58J3.2::OTTHUMP00000021508::FLJ50060::FLJ54876::FLJ59118::KIAA0367"	"PRUNE2"
"periaxin::KIAA1620::CMT4F"	"PRX"
"testis-specific PTP-BL-related protein on Y::PRY1::PTPN13-like, Y-linked::PTPN13LY::OTTHUMP00000040742"	"PRY"
"OTTHUMP00000040528::testis-specific PTP-BL-related protein on Y::testis-specific PTP-BL-related Y protein::PRY::PTPN13-like, Y-linked 2::PTPN13-like, Y-linked, centromeric::PTPN13LY::PTPN13LY2"	"PRY2"
"OTTHUMP00000019776::MGC110993::proactivator polypeptide::prosaposin::SAP1::sphingolipid activator protein-1::FLJ00245::GLBA"	"PSAP"
"FLJ40379::proactivator polypeptide-like 1::prosaposin-like 1 (gene/pseudogene)::prosaposin-like protein 1"	"PSAPL1"
"EPIP::endometrial progesterone-induced protein::PSA::PSAT::OTTHUMP00000021524::OTTHUMP00000021525::MGC1460::phosphoserine aminotransferase::phosphoserine aminotransferase 1::phosphohydroxythreonine aminotransferase"	"PSAT1"
"UNQ206/PRO232::prostate stem cell antigen::PRO232"	"PSCA"
"PSD1::TYL::RP11-18I14.2::OTTHUMP00000020364::OTTHUMP00000059199::PH and SEC7 domain-containing protein 1::pleckstrin and Sec7 domain containing::pleckstrin and Sec7 domain protein::pleckstrin homology and SEC7 domain-containing protein 1::pleckstrin-Sec7 domains-containing::EFA6::EFA6A::KIAA2011::exchange factor for ARF6"	"PSD"
"DKFZp761B0514::6330404E20Rik::pleckstrin and Sec7 domain containing 2::pleckstrin homology and SEC7 domain-containing protein 2::PH and SEC7 domain-containing protein 2"	"PSD2"
"EFA6R::DKFZp761K1423::ADP-ribosylation factor guanine nucleotide factor 6::HCA67::hepatocellular carcinoma-associated antigen 67::epididymis tissue protein Li 20mP::exchange factor for ADP-ribosylation factor guanine nucleotide factor 6::pleckstrin and Sec7 domain containing 3::pleckstrin homology and SEC7 domain-containing protein 3::PH and SEC7 domain-containing protein 3"	"PSD3"
"ADP-ribosylation factor guanine nucleotide-exchange factor 6::EFA6B::telomeric of interleukin-1 cluster protein::TIC::SEC7 homolog::FLJ36237::FLJ37279::exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 B::exchange factor for ADP-ribosylation factor guanine nucleotide factor 6B::exchange factor for ARF6 B::pleckstrin and Sec7 domain containing 4::pleckstrin homology and SEC7 domain-containing protein 4::PH and SEC7 domain-containing protein 4"	"PSD4"
"FAD::OTTHUMP00000180589::S182::PS-1::PS1::presenilin 1::presenilin-1::AD3"	"PSEN1"
"AD3L::AD3LP::AD4::Alzheimer's disease 3-like::E5-1::CMD1V::OTTHUMP00000035671::presenilin 2::presenilin 2 (Alzheimer disease 4)::presenilin-2::PS-2::PS2::STM-2::STM2"	"PSEN2"
"PEN-2::PEN2::MSTP064::MDS033::presenilin enhancer 2::presenilin enhancer 2 homolog (C. elegans)::gamma-secretase subunit PEN-2::hematopoietic stem/progenitor cells protein MDS033"	"PSENEN"
"SP1::PS-beta-C/D::PS-beta-G-1::PSBG-1::PSBG1::PSG95::PSGGA::PSGIIA::pregnancy specific beta-1-glycoprotein 1::pregnancy-specific B-1 glycoprotein::pregnancy-specific beta-1 glycoprotein C/D::pregnancy-specific beta-1-glycoprotein 1::pregnancy-specific glycoprotein 1::DHFRP2::B1G1::CD66 antigen-like family member F::CD66f::fetal liver non-specific cross-reactive antigen 1/2::FL-NCA-1/2::FLJ90598::FLJ90654::PBG1"	"PSG1"
"pregnancy specific beta-1-glycoprotein 10, pseudogene::PSG10::PSG12"	"PSG10P"
"PS-beta-G-13::PSBG-11::PSBG-13::PSG13::PSG14::pregnancy specific beta-1-glycoprotein 11::pregnancy specific beta-1-glycoprotein 13::pregnancy-specific beta-1-glycoprotein 11::pregnancy-specific beta-1-glycoprotein 13::OTTHUMP00000200192::OTTHUMP00000200193::OTTHUMP00000200194::MGC22484"	"PSG11"
"OTTHUMP00000200195::OTTHUMP00000200196::OTTHUMP00000200197::carcinoembryonic antigen SG8::CEA::pregnancy specific beta-1-glycoprotein 2::pregnancy-specific beta-1 glycoprotein::pregnancy-specific beta-1 glycoprotein E::pregnancy-specific beta-1-glycoprotein 2::pregnancy-specific beta-1-glycoprotein 7::Pregnancy-specific beta-1-glycoprotein-2::pregnancy-specific glycoprotein 2::PS-beta-E::PS-beta-G-2::PSBG-2::PSBG2::PSG1::PSGGB"	"PSG2"
"pregnancy specific beta-1-glycoprotein 4::pregnancy-specific beta-1-glycoprotein 4::Pregnancy-specific beta-1-glycoprotein-4::pregnancy-specific glycoprotein 4::pregnancy-specific glycoprotein 9::PS-beta-G-4::PSBG-4::PSG9"	"PSG4"
"PS-beta-G-5::PSBG-5::PSG::pregnancy specific beta-1-glycoprotein 5::pregnancy-specific beta 1 glycoprotein::pregnancy-specific beta-1 glycoprotein::pregnancy-specific beta-1-glycoprotein 5::Pregnancy-specific beta-1-glycoprotein-5::pregnancy-specific glycoprotein 5::OTTHUMP00000200178::OTTHUMP00000200179::FL-NCA-3::fetal liver non-specific cross-reactive antigen 3"	"PSG5"
"pregnancy specific beta-1-glycoprotein 6::pregnancy-specific beta-1-glycoprotein 10::pregnancy-specific beta-1-glycoprotein 12::pregnancy-specific beta-1-glycoprotein 6::PS-beta-G-10::PS-beta-G-12::PS-beta-G-6::PSBG-10::PSBG-12::PSBG-6::PSG10::PSGGB"	"PSG6"
"PS-beta-G-7::PSBG-7::PSG1::PSGGA::putative pregnancy-specific beta-1-glycoprotein 7::pregnancy specific beta-1-glycoprotein 7::pregnancy specific beta-1-glycoprotein 7 (gene/pseudogene)::pregnancy-specific beta-1-glycoprotein::pregnancy-specific glycoprotein 7::OTTHUMP00000209547"	"PSG7"
"pregnancy specific beta-1-glycoprotein 8::pregnancy-specific beta-1 glycoprotein::pregnancy-specific beta-1-glycoprotein 8::pregnancy-specific glycoprotein 8::PS-beta-G-8::PSBG-8::PSG1::DKFZp781L10202::C1 alternate::C2 alternate::C3 alternate"	"PSG8"
"pregnancy specific beta-1-glycoprotein 11::pregnancy specific beta-1-glycoprotein 9::pregnancy-specific beta-1 glycoprotein B::pregnancy-specific beta-1 glycoprotein-11::pregnancy-specific beta-1-glycoprotein (PSG)::Pregnancy-specific beta-1-glycoprotein-11::pregnancy-specific glycoprotein::PS-beta-B::PS34::PSBG-11::PSBG-9::PSG11::PSGII"	"PSG9"
"LEDGF::lens epithelium-derived growth factor::transcriptional coactivator p52/p75::transcriptional coactivator p75/p52::PSIP2::dense fine speckles 70 kDa protein::DFS 70::DFS70::CLL-associated antigen KW-7::OTTHUMP00000022753::OTTHUMP00000022754::OTTHUMP00000022756::MGC74712::PC4 and SFRS1 interacting protein 1::PC4 and SFRS1-interacting protein::p52::p75::PAIP"	"PSIP1"
"protein P30-33K::Pros-30::PROS30::proteasome (prosome, macropain) subunit, alpha type, 1::proteasome alpha 1 subunit::proteasome component C2::proteasome nu chain::proteasome subunit alpha type-1::proteasome subunit nu::proteasome subunit, alpha-type, 1::HC2::macropain subunit C2::macropain subunit nu::30 kDa prosomal protein::MGC21459::MGC22853::MGC23915::MGC14542::MGC14575::MGC14751::MGC1667::multicatalytic endopeptidase complex subunit C2::NU"	"PSMA1"
"multicatalytic endopeptidase complex subunit C3::MU::OTTHUMP00000207364::PMSA2::macropain subunit C3::HC3::proteasome subunit alpha type 2::proteasome subunit alpha type-2::proteasome subunit HC3::PSC2::proteasome (prosome, macropain) subunit, alpha type, 2::proteasome component C3"	"PSMA2"
"proteasome (prosome, macropain) subunit, alpha type, 3::proteasome alpha 3 subunit::proteasome component C8::proteasome subunit alpha type-3::proteasome subunit C8::PSC3::HC8::macropain subunit C8::MGC32631::MGC12306::multicatalytic endopeptidase complex subunit C8"	"PSMA3"
"multicatalytic endopeptidase complex subunit C9::MGC111191::MGC12467::MGC24813::macropain subunit C9::HsT17706::HC9::PSC9::proteasome (prosome, macropain) subunit, alpha type, 4::proteasome alpha 4 subunit::proteasome component C9::proteasome subunit alpha type-4::proteasome subunit HC9::proteasome subunit L"	"PSMA4"
"proteasome subunit alpha type-5::proteasome subunit zeta::proteasome zeta chain::PSC5::proteasome (prosome, macropain) subunit, alpha type, 5::proteasome alpha 5 subunit::proteasome component 5::ZETA::macropain subunit zeta::macropain zeta chain::MGC117302::MGC125802::MGC125803::MGC125804::multicatalytic endopeptidase complex zeta chain::OTTHUMP00000013792"	"PSMA5"
"OTTHUMP00000178843::multicatalytic endopeptidase complex iota chain::p27K::MGC22756::MGC2333::MGC23846::macropain iota chain::macropain subunit iota::IOTA::Pros-27::PROS27::prosomal P27K protein::proteasome (prosome, macropain) subunit, alpha type, 6::proteasome alpha 6 subunit::proteasome iota chain::proteasome subunit alpha type-6::proteasome subunit iota::27 kDa prosomal protein"	"PSMA6"
"proteasome (prosome, macropain) subunit, alpha type, 6 pseudogene 1::PSMA6-LIKE::PSMA6P::PSMA6Y"	"PSMA6P1"
"C6::HSPC::MGC3755::OTTHUMP00000031449::proteasome subunit alpha 4::proteasome subunit alpha type-7::proteasome subunit RC6-1::proteasome subunit XAPC7::proteasome (prosome, macropain) subunit, alpha type, 7::proteasome alpha 7 subunit::XAPC7::RP5-1005F21.4::RC6-1"	"PSMA7"
"PSMA7L::proteasome (prosome, macropain) subunit, alpha type, 8::proteasome alpha 8 subunit::proteasome subunit alpha type-7-like::MGC26605"	"PSMA8"
"proteasome (prosome, macropain) subunit, beta type, 1::proteasome beta 1 subunit::proteasome component C5::proteasome gamma chain::proteasome subunit beta type-1::proteasome subunit HC5::PSC5::HC5::FLJ25321::KIAA1838::macropain subunit C5::PMSB1::multicatalytic endopeptidase complex subunit C5"	"PSMB1"
"beta2i::proteasome (prosome, macropain) subunit, beta type, 10::proteasome beta 10 subunit::proteasome catalytic subunit 2i::proteasome MECl-1::proteasome subunit beta 7i::proteasome subunit beta type-10::proteasome subunit beta-2i::proteasome subunit MECL1::multicatalytic endopeptidase complex subunit MECl-1::MGC1665::MECL1::low molecular mass protein 10::LMP10::macropain subunit MECl-1"	"PSMB10"
"BETA5T::proteasome subunit beta 5T::proteasome subunit beta type-11::proteasome subunit beta-5t::proteasome (prosome, macropain) subunit, beta type, 11::proteasome beta 11 subunit::FLJ16369"	"PSMB11"
"multicatalytic endopeptidase complex subunit C7-1::multicatalytic endopeptidase complex subunit C7-I::OTTHUMP00000004345::MGC104215::MGC126885::proteasome (prosome, macropain) subunit, beta type, 2::proteasome beta 2 subunit::proteasome component C7-I::proteasome subunit beta type-2::proteasome subunit, beta type, 2::RP5-983H21.1::macropain subunit C7-I::HC7-I"	"PSMB2"
"HC10-II::MGC4147::proteasome subunit beta type-3::proteasome theta chain::proteasome (prosome, macropain) subunit, beta type, 3::proteasome beta 3 subunit::proteasome chain 13::proteasome component C10-II"	"PSMB3"
"PROS-26::PROS26::proteasome (prosome, macropain) subunit, beta type, 4::proteasome beta 4 subunit::proteasome beta chain::proteasome chain 3::proteasome subunit beta type-4::proteasome subunit HsN3::proteasome subunit, beta type, 4::macropain beta chain::hsBPROS26::HsN3::HN3::26 kDa prosomal protein::multicatalytic endopeptidase complex beta chain"	"PSMB4"
"multicatalytic endopeptidase complex epsilon chain::MGC104214::MB1::macropain epsilon chain::LMPX::proteasome subunit beta type-5::proteasome subunit MB1::proteasome subunit X::proteasome subunit, beta type, 5::PSX large multifunctional protease X::proteasome (prosome, macropain) subunit, beta type, 5::proteasome beta 5 subunit::proteasome catalytic subunit 3::proteasome chain 6::proteasome epsilon chain::X"	"PSMB5"
"Y::proteasome (prosome, macropain) subunit, beta type, 6::proteasome beta 6 subunit::proteasome catalytic subunit 1::proteasome delta chain::proteasome subunit beta 6::proteasome subunit beta type-6::proteasome subunit delta::proteasome subunit Y::PSY large multifunctional protease Y::LMPY::macropain delta chain::multicatalytic endopeptidase complex delta chain::MGC5169::DELTA"	"PSMB6"
"macropain chain Z::proteasome (prosome, macropain) subunit, beta type, 7::proteasome beta 7 subunit::proteasome catalytic subunit 2::proteasome subunit alpha::proteasome subunit beta 7::proteasome subunit beta type-7::proteasome subunit Z::Z::RP11-101K10.7::multicatalytic endopeptidase complex chain Z::OTTHUMP00000022798"	"PSMB7"
"OTTHUMP00000029420::OTTHUMP00000029421::OTTHUMP00000062981::multicatalytic endopeptidase complex subunit C13::NKJO::MGC1491::macropain subunit C13::low molecular mass protein 7::low molecular weight protein 7::LMP7::JMP::D6S216::D6S216E::DAAP-57C1.3::ALDD::beta5i::RING10::proteasome subunit beta 5i::proteasome subunit beta type-8::proteasome subunit Y2::proteasome-related gene 7::PSMB5i::protease component C13::proteasome (prosome, macropain) subunit beta type 8 (large multifunctional protease 7)::proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)::proteasome beta 8 subunit::proteasome catalytic subunit 3i::proteasome component C13::really interesting new gene 10 protein"	"PSMB8"
"multicatalytic endopeptidase complex chain 7::MGC70470::OTTHUMP00000062982::OTTHUMP00000029423::really interesting new gene 12 protein::proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)::proteasome beta 9 subunit::proteasome catalytic subunit 1i::proteasome chain 7::proteasome subunit beta 6i::proteasome subunit beta type-9::proteasome subunit beta-1i::proteasome-related gene 2::PSMB6i::RING12::LMP2::macropain chain 7::low molecular mass protein 2::beta1i::DADB-223G19.3"	"PSMB9"
"proteasome (prosome, macropain) 26S subunit, ATPase, 1::proteasome 26S ATPase subunit 1::proteasome 26S subunit ATPase 1::proteasome 26S subunit, ATPase, 1::S4::26S protease regulatory subunit 4::26S proteasome AAA-ATPase subunit RPT2::MGC24583::P26S4::p56::MGC8541"	"PSMC1"
"OTTHUMP00000211710::MGC3004::Nbla10058::MSS1::S7::protease 26S subunit 7::proteasome (prosome, macropain) 26S subunit, ATPase, 2::proteasome 26S ATPase subunit 2::proteasome 26S subunit ATPase 2::proteasome 26S subunit, ATPase, 2::putative protein product of Nbla10058::mammalian suppressor of sgv-1 of yeast::26S protease regulatory subunit 7::26S proteasome AAA-ATPase subunit RPT1"	"PSMC2"
"26S protease regulatory subunit 6A::26S proteasome AAA-ATPase subunit RPT5::proteasome (prosome, macropain) 26S subunit, ATPase, 3::proteasome 26S ATPase subunit 3::proteasome 26S subunit ATPase 3::proteasome subunit P50::Tat-binding protein 1::TBP-1::TBP1::MGC8487::human immunodeficiency virus tat transactivator binding protein-1"	"PSMC3"
"ODG3::nuclear receptor coactivator GT198::HUMGT198A::homologous-pairing protein 2 homolog::HOP2::GT198::GT198 alternative::DBD-interacting::tat-binding protein 1-interacting protein::TBP-1 interacting protein::TBP-1-interacting protein::TBPIP::proteasome 26S ATPase subunit 3-interacting protein::PSMC3 interacting protein"	"PSMC3IP"
"protease 26S subunit 6::proteasome (prosome, macropain) 26S subunit, ATPase, 4::proteasome 26S ATPase subunit 4::Tat-binding protein 7::TBP-7::TBP7::S6::RPT3::26S protease regulatory subunit 6B::26S proteasome AAA-ATPase subunit RPT3::MGC8570::MIP224::MGC23214::MGC13687::MB67 interacting protein::MB67-interacting protein"	"PSMC4"
"MSUG1 protein::p45::p45/SUG::S8::proteasome (prosome, macropain) 26S subunit, ATPase, 5::proteasome 26S ATPase subunit 5::proteasome 26S subunit ATPase 5::proteasome subunit p45::Tat-binding protein homolog 10::TBP10::thyroid hormone receptor-interacting protein 1::thyroid receptor interactor 1::TRIP1::SUG-1::SUG1::26S protease regulatory subunit 8::26S proteasome AAA-ATPase subunit RPT6"	"PSMC5"
"26S protease regulatory subunit 10B::26S protease regulatory subunit S10B::26S proteasome AAA-ATPase subunit RPT4::conserved ATPase domain protein 44::CADP44::p42::P44::MGC12520::SUG2::proteasome subunit p42::proteasome (prosome, macropain) 26S subunit, ATPase, 6::proteasome 26S ATPase subunit 6::proteasome 26S subunit ATPase 6"	"PSMC6"
"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1::proteasome 26S non-ATPase subunit 1::Rpn2::S1::26S proteasome non-ATPase regulatory subunit 1::26S proteasome regulatory subunit RPN2::26S proteasome regulatory subunit S1::26S proteasome subunit p112::MGC133040::MGC133041::P112"	"PSMD1"
"26S proteasome non-ATPase regulatory subunit 10::26S proteasome regulatory subunit p28::dJ889N15.2::ankyrin repeat protein::RP5-889N15.3::proteasome (prosome, macropain) 26S subunit, non-ATPase, 10::proteasome 26S non-ATPase subunit 10::hepatocellular carcinoma-associated protein p28-II::gankyrin::p28::p28(GANK)::OTTHUMP00000023827::OTTHUMP00000023828"	"PSMD10"
"p44.5::MGC3844::proteasome (prosome, macropain) 26S subunit, non-ATPase, 11::proteasome 26S non-ATPase subunit 11::S9::Rpn6::26S proteasome non-ATPase regulatory subunit 11::26S proteasome regulatory subunit 9::26S proteasome regulatory subunit p44.5::26S proteasome regulatory subunit RPN6::26S proteasome regulatory subunit S9"	"PSMD11"
"26S proteasome non-ATPase regulatory subunit 12::26S proteasome regulatory subunit p55::26S proteasome regulatory subunit RPN5::Rpn5::proteasome (prosome, macropain) 26S subunit, non-ATPase, 12::proteasome 26S non-ATPase subunit 12::p55::MGC75406"	"PSMD12"
"p40.5::proteasome (prosome, macropain) 26S subunit, non-ATPase, 13::proteasome 26S non-ATPase subunit 13::Rpn9::S11::26S proteasome non-ATPase regulatory subunit 13::26S proteasome regulatory subunit p40.5::26S proteasome regulatory subunit RPN9::26S proteasome regulatory subunit S11::26S proteasome subunit p40.5::HSPC027"	"PSMD13"
"26S proteasome non-ATPase regulatory subunit 14::26S proteasome regulatory subunit rpn11::26S proteasome-associated pad1 homolog::26S proteasome-associated PAD1 homolog 1::POH1::PAD1::RPN11::proteasome (prosome, macropain) 26S subunit, non-ATPase, 14::proteasome 26S subunit, non-ATPase 14"	"PSMD14"
"P97::MGC14274::S2::Rpn1::proteasome (prosome, macropain) 26S subunit, non-ATPase, 2::proteasome 26S non-ATPase subunit 2::protein 55.11::tumor necrosis factor receptor-associated protein 2::tumor necrosis factor type 1 receptor-associated protein 2::TRAP2::TNFR-associated protein 2::26S proteasome non-ATPase regulatory subunit 2::26S proteasome regulatory subunit RPN1::26S proteasome regulatory subunit S2::26S proteasome subunit p97::55.11 protein"	"PSMD2"
"26S proteasome non-ATPase regulatory subunit 3::26S proteasome regulatory subunit RPN3::26S proteasome regulatory subunit S3::P58::tissue specific transplantation antigen 2::RPN3::S3::TSTA2::proteasome subunit p58::proteasome (prosome, macropain) 26S subunit, non-ATPase, 3::proteasome 26S non-ATPase subunit 3"	"PSMD3"
"PSMD4"	"PSMD4"
"OTTHUMP00000021990::MGC23145::S5B::RP11-27I1.5::proteasome (prosome, macropain) 26S subunit, non-ATPase, 5::proteasome 26S non-ATPase subunit 5::KIAA0072::26S protease subunit S5 basic::26S proteasome non-ATPase regulatory subunit 5::26S proteasome subunit S5B"	"PSMD5"
"KIAA0107::breast cancer-associated protein SGA-113M::26S proteasome non-ATPase regulatory subunit 6::26S proteasome regulatory subunit RPN7::26S proteasome regulatory subunit S10::proteasome regulatory particle subunit p44S10::proteasome (prosome, macropain) 26S subunit, non-ATPase, 6::SGA-113M::Rpn7::S10::phosphonoformate immuno-associated protein 4::p42A::p44S10"	"PSMD6"
"26S proteasome non-ATPase regulatory subunit 7::26S proteasome regulatory subunit rpn8::26S proteasome regulatory subunit S12::proteasome (prosome, macropain) 26S subunit, non-ATPase, 7::proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)::proteasome 26S non-ATPase subunit 7::proteasome subunit p40::Rpn8::S12::P40::Moloney leukemia virus-34 proviral integration::MOV34::Mov34 homolog"	"PSMD7"
"MGC1660::Nin1p::p31::S14::Rpn12::proteasome (prosome, macropain) 26S subunit, non-ATPase, 8::proteasome 26S non-ATPase subunit 8::26S proteasome non-ATPase regulatory subunit 8::26S proteasome regulatory subunit p31::26S proteasome regulatory subunit RPN12::26S proteasome regulatory subunit S14::HYPF::HIP6"	"PSMD8"
"homolog of rat Bridge 1::proteasome (prosome, macropain) 26S subunit, non-ATPase, 9::proteasome 26S non-ATPase regulatory subunit 9::proteasome 26S non-ATPase subunit 9::Rpn4::p27::MGC8644::26S proteasome non-ATPase regulatory subunit 9::26S proteasome regulatory subunit p27"	"PSMD9"
"IFI5111::IGUP I-5111::interferon gamma up-regulated I-5111 protein::interferon-gamma IEF SSP 5111::interferon-gamma-inducible protein 5111::proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)::proteasome activator 28 subunit alpha::proteasome activator complex subunit 1::proteasome activator subunit 1::proteasome activator subunit-1::REG-alpha::REGalpha::PA28A::PA28alpha::MGC8628::29-kD MCP activator subunit::11S regulator complex alpha subunit::11S regulator complex subunit alpha::activator of multicatalytic protease subunit 1"	"PSME1"
"activator of multicatalytic protease subunit 2::11S regulator complex beta subunit::11S regulator complex subunit beta::cell migration-inducing protein 22::REG-beta::REGbeta::proteasome (prosome, macropain) activator subunit 2 (PA28 beta)::proteasome activator 28 subunit beta::proteasome activator 28-beta::proteasome activator complex subunit 2::proteasome activator hPA28 subunit beta::proteasome activator subunit 2::PA28B::PA28beta::MCP activator, 31-kD subunit"	"PSME2"
"Ki::Ki antigen::Ki nuclear autoantigen::11S regulator complex gamma subunit::11S regulator complex subunit gamma::activator of multicatalytic protease subunit 3::PA28 gamma variant 5::PA28-gamma::PA28G::PA28gamma::proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)::proteasome activator 28 subunit gamma::proteasome activator 28-gamma::proteasome activator complex subunit 3::proteasome activator subunit 3::REG-GAMMA"	"PSME3"
"proteasome (prosome, macropain) activator subunit 4::proteasome activator 200 kDa::proteasome activator complex subunit 4::proteasome activator PA200::PA200::MGC138374::MGC142228::KIAA0077::FLJ21864"	"PSME4"
"hPI31::proteasome (prosome, macropain) inhibitor subunit 1 (PI31)::proteasome inhibitor hP131 subunit::proteasome inhibitor PI31 subunit::proteasome inhibitor subunit 1::RP4-545L17.1::PI31"	"PSMF1"
"proteasome (prosome, macropain) assembly chaperone 1::proteasome assembling chaperone 1::proteasome assembly chaperone 1::Down syndrome critical region gene 2::Down syndrome critical region protein 2::DSCR2::C21LRP::chromosome 21 leucine-rich protein::PAC-1::PAC1::leucine rich protein C21-LRP::LRPC21"	"PSMG1"
"HDCMC29P::hepatocellular carcinoma susceptibility protein::hepatocellular carcinoma-susceptibility protein 3::HCCA3::likely ortholog of mouse CD40 ligand-activated specific transcript 3 (Clast3)::HSPC260::HsT1707::proteasome (prosome, macropain) assembly chaperone 2::proteasome assembling chaperone 2::proteasome assembly chaperone 2::tumor necrosis factor superfamily member 5-induced protein 1::tumor necrosis factor superfamily, member 5-induced protein 1::TNFSF5IP1::x 003 protein::MGC15092::MDS003::PAC-2::PAC2::CLAST3::CD40 ligand-activated specific transcript 3"	"PSMG2"
"OTTHUMP00000200047::PAC-3::PAC3::MGC10911::proteasome (prosome, macropain) assembly chaperone 3::proteasome assembling chaperone 3::proteasome assembly chaperone 3::C7orf48::hPAC3"	"PSMG3"
"hPAC4::RP11-506K6.3::proteasome (prosome, macropain) assembly chaperone 4::proteasome assembly chaperone 4::bA506K6.2::C6orf86::PAC-4::PAC4"	"PSMG4"
"MGC132530::OTTHUMP00000029096::C6orf16::DADB-141O4.2::SEEK1::SEEK1 protein::psoriasis susceptibility 1 candidate 1::psoriasis susceptibility 1 candidate gene 1 protein"	"PSORS1C1"
"psoriasis susceptibility 1 candidate 2::psoriasis susceptibility 1 candidate gene 2 protein::SPR1::SPR1 protein::OTTHUMP00000029097::DADB-141O4.1::C6orf17"	"PSORS1C2"
"DAQB-185I1.1::AB023059.1::NCRNA00196::psoriasis susceptibility 1 candidate 3 (non-protein coding)"	"PSORS1C3"
"OTTHUMP00000018077::OTTHUMP00000040148::paraspeckle component 1::paraspeckle protein 1::FLJ10955::RP11-523H24.2::PSP1::DKFZp566B1447"	"PSPC1"
"PSP::PSPase::PSPHD::L-3-phosphoserine phosphatase::phosphoserine phosphatase::OTTHUMP00000025059::OTTHUMP00000209319::OTTHUMP00000209327::O-phosphoserine phosphohydrolase"	"PSPH"
"persephin::PSP"	"PSPN"
